Base	Curvature
0	-0.00227592768751263
0.0712269450590322	-0.00069532611473218
0.218551281859571	0.000851349488426107
0.366347453911906	0.000775970408553961
0.514592343303193	-0.000878961286070508
0.663297832157724	-0.00251555807559573
0.812434533778317	-0.00298619879793197
0.962010873956028	-0.00343796429082896
1.1119569209604	-0.00366879820380276
1.26223497381131	-0.00368253754851661
1.41284766934021	-0.00370974764463905
1.56356568927199	-0.00367786192318703
1.71448607383302	-0.003659616862506
1.86549452109776	-0.0023957364157533
2.0165811892675	8.34644176211564E-05
2.16774431702644	0.00257187678756754
2.31891683137974	0.0020171073705399
2.47012339466415	0.0014761059884643
2.62133721530373	0.00119207135265115
2.77254480821789	0.00117862947974436
2.92375698857832	0.00115158616076982
3.07496624953099	0.000313243272559067
3.22617587043723	-0.000511577956164414
3.37738640343918	-0.00129583420642609
3.52860377092506	-0.00203938897979185
3.67982579935971	-0.00278284422645252
3.83105470308146	-0.00209319180357016
3.98229000569939	-0.00141714971752472
4.13353138289762	-0.000957472274702755
4.28478406080132	-0.000714068261545593
4.43603978012968	-0.000484275302405095
4.58730884000607	0.000218445426325764
4.73857994769504	0.000921039728364689
4.88985268354514	0.00151555496578416
5.04112130652821	0.00200211047322523
5.19238546497325	0.00250224460713195
5.3436272671658	0.00108361520157742
5.49485041149326	-0.000335796382829902
5.64606587752705	-0.000592787260845648
5.79727302660695	0.000313285207466154
5.94847391846285	0.00121935767577795
6.09969047896542	0.000745886453192492
6.25091494369136	0.000272605307402161
6.40215533438815	0.000380673200106422
6.55341654465968	0.00109669195760226
6.70469538158451	0.00179881944015901
6.85599944015864	0.00251390753003325
7.00732013277572	0.00321523330056993
7.15866804111767	0.00352455386538135
7.31003782738558	0.00344243016293048
7.46143226089146	0.00334687471941519
7.6128313286523	0.00109456718955644
7.76425279857565	-0.0011573619150646
7.91568868647239	-0.00131890220327544
8.06714305971503	0.000581766954702183
8.21861457991744	0.00249489415793826
8.37009603809097	0.00122819080745881
8.52159371751777	-3.81741007992074E-05
8.67308186259308	-0.00180301400136504
8.82455126217499	-0.00406794403042629
8.97600352084413	-0.00634817341003019
9.12742610096619	-0.00385539606752717
9.27882264851431	-0.00136052702456796
9.43018973364872	-0.000321693126500291
9.58153574800252	-0.000740306110333741
9.73285828738163	-0.00115914309709234
9.88415960391292	-0.000524572839163925
10.035439260166	9.68254219422475E-05
10.1866971515053	0.000245519933235803
10.3379281173514	-9.23941437790378E-05
10.4891350850407	-0.000417010066907141
10.6403208973918	-0.000620041693443149
10.7914775904501	-0.000809704655963041
10.9426429623515	-0.000823182063469339
11.0938195851053	-0.000647054368749907
11.2450127224456	-0.000457521939611769
11.3962438149191	-0.000241047956771696
11.547507321255	-3.8286554153442E-05
11.6988028910818	0.000461394599376844
11.8501218765737	0.00124432154602824
12.0014718227197	0.00202669414638956
12.1528296371573	0.000326109808211926
12.304201915374	-0.0013741116396614
12.4555782228544	-0.0018868702625614
12.6069364828611	-0.00119901486182919
12.7582897040897	-0.000510757188133723
12.9096245453922	-0.000726902466890156
13.0609438677748	-0.000956639871112707
13.212252697915	-0.00042998741156643
13.363547421402	0.000866818895545734
13.5148352208253	0.00216382749024752
13.6661139694687	0.00135332390043792
13.8173869472529	0.000529200140065496
13.9686707102631	1.57530542981154E-05
14.119978904283	-0.000200324960014739
14.2713035746097	-0.000402757463823472
14.4226317445367	-0.00113175560291767
14.5739747222277	-0.00186075374201186
14.7253029722378	-0.00207716990949638
14.8766081779622	-0.00176731754670875
15.0278901304297	-0.00147072972388479
15.1791681100881	-0.00201140502959424
15.3304236054873	-0.00255232347493852
15.4816724097226	-0.00198490740590016
15.6329106271385	-0.000295191888704175
15.7841316525126	0.00140859196640424
15.9353598358469	0.00132736773410433
16.0865763409946	0.00124623777718071
16.23779460629	0.00132736773410433
16.3890117516611	0.00158427926436246
16.5402329944382	0.00184106757004556
16.6914834946523	0.000610433753786474
16.8427533225607	-0.000619212345007684
16.9940504353146	-0.000416424505961981
17.1453602037856	0.00119055692820475
17.296692279436	0.00281042228166083
17.4480152286692	0.00146043311046567
17.5993380901676	0.000123774300200141
17.7506580225419	0.000326349791337745
17.901973798337	0.00206842781504212
18.0532841928086	0.00381050583874649
18.2045769007439	0.00212287169696187
18.3558611959828	0.000448069921910574
18.5071241345655	-0.000335594200737147
18.65836293163	-0.000214044139776781
18.8095775114981	-0.000105935261666723
18.9607698901737	0.000867921736918478
19.1119366851617	0.00184230037272299
19.263085766685	0.00216745108082159
19.4142146832188	0.00181597015924215
19.5653263711185	0.00147788591848468
19.7164419509722	0.00215463983345259
19.8675501539538	0.00283130310791596
