time,dist,Acc_y_g,gps_speed_kmh,yaw_rate_deg_sec
0,0,0.201896,61.09,-1.042
0.0999999999999943,1.73416666666667,0.132718,62.43,-14.456
0.200000000000017,3.51222222222222,-0.302073,64.01,-0.156
0.300000000000011,5.31666666666667,-0.165093,64.96,-7.014
0.400000000000006,7.16555555555556,-0.089978,66.56,-0.365
0.5,9.05138888888889,0.083694,67.89,-1.72
0.599999999999994,10.9791666666667,-0.203491,69.4,-0.966
0.700000000000017,12.9491666666667,0.217872,70.92,-10.223
0.800000000000011,14.9475,-0.20902,71.94,6.945
0.900000000000006,16.9602777777778,0.147088,72.46,3.24
1,19.0125,0.194991,73.88,0.66
1.09999999999999,21.0938888888889,-0.015627,74.93,-2.864
1.20000000000002,23.2030555555556,-0.236819,75.93,-3.435
1.30000000000001,25.3291666666667,-0.050586,76.54,-1.405
1.40000000000001,27.4594444444444,0.326136,76.69,-0.537
1.5,29.5783333333333,-0.095048,76.28,1.716
1.59999999999999,31.6580555555556,0.101301,74.87,6.211
1.70000000000002,33.6891666666667,0.087745,73.12,1.154
1.80000000000001,35.6652777777778,0.136794,71.14,0.336
1.90000000000001,37.5847222222222,0.113786,69.1,-2.183
2,39.475,0.242791,68.05,9.273
2.09999999999999,41.3130555555556,-0.08162,66.17,12.74
2.20000000000002,43.0916666666667,0.872733,64.03,5.326
2.30000000000001,44.8125,0.141151,61.95,3.012
2.40000000000001,46.48,-0.261407,60.03,2.506
2.5,48.1261111111111,-0.001486,59.26,2.405
2.59999999999999,49.7238888888889,0.489004,57.52,11.538
2.70000000000002,51.2716666666667,0.399213,55.72,16.469
2.80000000000001,52.7686111111111,0.472009,53.89,11.671
2.90000000000001,54.2119444444444,0.238103,51.96,12.02
3,55.6152777777778,0.307179,50.52,17.044
3.09999999999999,56.9994444444444,0.293089,49.83,15.563
3.20000000000002,58.3430555555556,0.493056,48.37,16.889
3.30000000000001,59.6455555555556,0.272756,46.89,18.205
3.40000000000001,60.9022222222222,0.490278,45.24,17.879
3.5,62.1180555555556,0.438987,43.77,23.248
3.59999999999999,63.3175,0.36135,43.18,20.816
3.70000000000002,64.4911111111111,0.584733,42.25,22.094
3.80000000000001,65.6325,0.169434,41.09,16.546
3.90000000000001,66.7441666666667,0.493361,40.02,9.313
4,67.8275,-0.194012,39,-6.671
4.09999999999999,68.8738888888889,-0.10468,37.67,-10.383
4.20000000000002,69.9008333333333,-0.00118,36.97,-10.376
4.30000000000001,70.8952777777777,-0.26765,35.8,-8.971
4.40000000000001,71.8513888888889,-0.119738,34.42,-8.87
4.5,72.7652777777778,-0.008085,32.9,-4.588
4.59999999999999,73.6330555555555,-0.085391,31.24,-0.742
4.70000000000002,74.4788888888889,0.068865,30.45,0.153
4.80000000000001,75.2822222222222,-0.070333,28.92,0.239
4.90000000000001,76.0486111111111,0.190965,27.59,0.372
5,76.7775,-0.042559,26.24,1.512
5.09999999999999,77.4733333333333,0.070674,25.05,1.46
5.20000000000002,78.1441666666666,-0.036011,24.15,1.322
5.30000000000001,78.8011111111111,0.097402,23.65,1.928
5.40000000000001,79.4294444444444,-0.021691,22.62,0.662
5.5,80.0294444444444,-0.049108,21.6,-4.815
5.59999999999999,80.6097222222222,-0.488383,20.89,-25.34
5.70000000000002,81.1708333333333,-0.612521,20.2,-50.17
5.80000000000001,81.7277777777777,-0.869436,20.05,-70.217
5.90000000000001,82.2777777777777,-0.84946,19.8,-84.087
6,82.8430555555555,-0.966744,20.35,-86.911
6.09999999999999,83.4244444444444,-0.75256,20.93,-86.942
6.20000000000002,84.0155555555555,-0.77251,21.28,-87.273
6.30000000000001,84.6116666666666,-0.697242,21.46,-84.717
6.40000000000001,85.2069444444444,-0.961164,21.43,-84.008
6.5,85.8052777777777,-0.724277,21.54,-83.947
6.59999999999999,86.4,-0.745374,21.41,-82.81
6.70000000000002,86.9822222222222,-0.732303,20.96,-80.998
6.80000000000001,87.5541666666666,-0.752661,20.59,-79.804
6.90000000000001,88.1211111111111,-0.671839,20.41,-79.003
7,88.6769444444444,-0.747591,20.01,-77.381
7.09999999999999,89.2227777777778,-0.592392,19.65,-77.362
7.20000000000002,89.7486111111111,-0.681929,18.93,-77.246
7.30000000000001,90.2583333333333,-0.551191,18.35,-74.785
7.40000000000001,90.7575,-0.719767,17.97,-73.601
7.5,91.2513888888889,-0.474624,17.78,-73.856
7.59999999999999,91.7330555555555,-0.378335,17.34,-68.016
7.70000000000002,92.2072222222222,-0.308239,17.07,-49.342
7.80000000000001,92.6827777777778,0.181639,17.12,-19.97
7.90000000000001,93.1580555555555,0.476341,17.11,10.169
8,93.6372222222222,0.490457,17.25,34.899
8.09999999999999,94.1280555555555,0.549774,17.67,48.318
8.20000000000002,94.635,0.623666,18.25,60.009
8.30000000000001,95.1575,0.622163,18.81,60.819
8.40000000000001,95.6991666666666,0.628074,19.5,62.907
8.5,96.2530555555555,0.768214,19.94,66.224
8.59999999999999,96.8130555555555,0.60606,20.16,66.268
8.70000000000002,97.3963888888889,0.78047,21,66.202
8.80000000000001,97.9994444444444,0.770253,21.71,59.781
8.90000000000001,98.6238888888889,0.327843,22.48,50.021
9,99.2719444444444,0.343616,23.33,35.64
9.09999999999999,99.94,0.566081,24.05,22.576
9.20000000000002,100.653333333333,0.297115,25.68,13.031
9.30000000000001,101.425833333333,0.285292,27.81,11.963
9.40000000000001,102.256666666667,0.391365,29.91,19.47
9.5,103.144722222222,0.284731,31.97,22.791
9.59999999999999,104.093333333333,-0.042916,34.15,20.431
9.70000000000002,105.072222222222,0.57133,35.24,11.607
9.80000000000001,106.108611111111,-0.114693,37.31,10.346
9.90000000000001,107.206666666667,-0.165806,39.53,3.332
10,108.368611111111,0.003712,41.83,4.834
10.1,109.579166666667,-0.262171,43.58,2.302
10.2,110.814166666667,0.12831,44.46,4.631
10.3,112.096944444444,0.032556,46.18,-2.511
10.4,113.420277777778,0.152719,47.64,-1.054
10.5,114.748055555556,-0.143919,47.8,-1.14
10.6,116.045833333333,-0.472738,46.72,-3.32
10.7,117.3075,-0.006887,45.42,-8.478
10.8,118.546944444444,-0.647862,44.62,-10.509
10.9,119.728333333333,-0.74991,42.53,-23.782
11,120.850277777778,-0.0872,40.39,-31.149
11.1,121.906388888889,-0.890814,38.02,-35.823
11.2,122.904166666667,-0.992454,35.92,-51.111
11.3,123.880555555556,-1.12574,35.15,-66.915
11.4,124.841666666667,-1.295207,34.6,-63.233
11.5,125.783888888889,-1.163297,33.92,-65.715
11.6,126.709722222222,-1.123676,33.33,-65.772
11.7,127.630833333333,-0.816081,33.16,-61.065
11.8,128.540277777778,-1.004659,32.74,-67.236
11.9,129.445277777778,-1.261624,32.58,-58.537
12,130.345833333333,-0.673419,32.42,-63.706
12.1,131.264722222222,-1.161284,33.08,-64.721
12.2,132.198333333333,-0.99676,33.61,-72.935
12.3,133.1425,-1.073378,33.99,-64.06
12.4,134.094722222222,-0.709855,34.28,-55.971
12.5,135.081388888889,-0.656653,35.52,-33.89
12.6,136.109166666667,-0.958183,37,-8.484
12.7,137.178055555556,-0.414287,38.48,-8.035
12.8,138.292222222222,-0.530145,40.11,-15.296
12.9,139.448055555556,-0.590787,41.61,-22.474
13,140.626944444444,-0.420275,42.44,-27.366
13.1,141.848611111111,-0.415383,43.98,-22.655
13.2,143.103333333333,-0.164252,45.17,-10.473
13.3,144.365,-0.480535,45.42,-3.098
13.4,145.594722222222,0.09065,44.27,-7.126
13.5,146.806111111111,-0.192789,43.61,-6.872
13.6,147.974722222222,-0.06223,42.07,-8.274
13.7,149.085277777778,0.026797,39.98,-6.831
13.8,150.138333333333,-0.381367,37.91,-7.902
13.9,151.132777777778,-0.203211,35.8,-13.315
14,152.072222222222,-0.506958,33.82,-34.892
14.1,152.989166666667,-0.854454,33.01,-57.462
14.2,153.873888888889,-1.083392,31.85,-56.953
14.3,154.745555555556,-0.673393,31.38,-43.944
14.4,155.615277777778,-0.361645,31.31,-24.206
14.5,156.485,0.035613,31.31,-7.28
14.6,157.355555555555,0.634164,31.34,17.077
14.7,158.226388888889,0.692411,31.35,32.101
14.8,159.110277777778,1.304059,31.82,64.824
14.9,160.014444444444,1.070585,32.55,65.247
15,160.928333333333,1.128807,32.9,67.362
15.1,161.831388888889,1.112576,32.51,72.111
15.2,162.727777777778,0.996286,32.27,68.349
15.3,163.627222222222,0.909119,32.38,57.37
15.4,164.524444444444,0.432413,32.3,30.126
15.5,165.405,-0.330509,31.7,-0.634
15.6,166.275555555556,-0.531419,31.34,-37.589
15.7,167.141666666667,-0.918868,31.18,-49.648
15.8,167.995833333333,-0.782932,30.75,-53.218
15.9,168.856666666667,-0.814196,30.99,-55.048
16,169.730555555556,-0.89377,31.46,-59.659
16.1,170.622222222222,-0.717677,32.1,-46.385
16.2,171.538611111111,-0.560772,32.99,-33.332
16.3,172.468055555556,-0.520258,33.46,-25.696
16.4,173.43,-0.213581,34.63,-16.271
16.5,174.421944444444,-0.044802,35.71,-1.264
16.6,175.450833333333,0.280833,37.04,12.605
16.7,176.510555555556,0.321448,38.15,15.011
16.8,177.585277777778,0.69738,38.69,21.542
